"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","871","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","0","0","35","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/UI/INTERACT_ICON_Mat.INTERACT_ICON_Mat","0","0","28","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Items/Gravestone/material_gravestone.material_gravestone","0","0","35","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Items/Clue_Mat.Clue_Mat","0","0","28","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Bubbl.Bubbl","0","0","28","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Water_Trough.Water_Trough","0","0","12","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Water_Bucket.Water_Bucket","0","0","12","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Fence_Barrier.Fence_Barrier","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Barn_Mat.Barn_Mat","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Hay_B_R.Hay_B_R","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Hay_B_B.Hay_B_B","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Pond.Pond","0","0","42","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Stone_Wall_Standard.Stone_Wall_Standard","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Stone_Wall_Pillar.Stone_Wall_Pillar","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Sign_Post.Sign_Post","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Landscape_Master.Landscape_Master","0","0","297","7","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Flower_Decal.Flower_Decal","0","0","31","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Mesh_Assets/Rocks/Mat_Gray_Round_rock.Mat_Gray_Round_rock","0","0","21","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Fence_Posts.Fence_Posts","0","0","24","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Fence_Main.Fence_Main","0","0","24","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Foliage_Master.Foliage_Master","0","0","96","1","0.000000","0","0"
"/Game/ourProject/Art_Assets/Textures_and_Materials/Standard_Tree_Bark.Standard_Tree_Bark","0","0","12","1","0.000000","0","0"
